"","Acute HX_SL.IM","Acute HX_1D.HX.IM","Acute HX_3D.HX.IM","Acute HX_7D.HX.IM","Acute HX_21D.HX.IM"
"Arpc5",3.73421596775975,4.77927792229301,3.50453855917579,3.5600304619611,4.6028636826408
"Hnrnpu",2.33313707857856,2.1624379694498,2.06556503840939,2.01384671656947,2.61453222967257
"Efcab2",0.0493515310928277,0.0308867749311437,0.00906995473187634,0.0362440963830583,0.0289366266736356
"Acsl3",0.200680051927508,0.0908417271116808,0.192615490004898,0.0830441449913817,0.357958483846052
"Ncf2",2.3407502504517,2.0894855774114,2.10561657410407,2.28622489637411,1.85416664850706
"Sgk3",0.734761275574504,0.574817983799115,0.407329972122009,0.667083826797176,0.542793806238126
"Utp14b",0.171180306167602,0.0508185587628369,0.0423829154747766,0.0290740342055522,0.14181155417121
"Smyd3",0.068957413702516,0.0847646553532475,0.0369697446230302,0.0827813171133284,0.0866623727986075
"Ap1s3",0.0233795893922796,0.0701967253992809,0.112879911662473,0.0971137537418845,0.0223827040008859
"Tfb2m",0.0882829719936901,0.0884519846410868,0.0751575400461247,0.0878565266584385,0.111202238677085
"Cnst",0.0727796015719286,0.0250664157076442,0.0343077684032001,0.136342838565509,0.0615102567542458
"Col3a1",0.0546884759719991,0.0446728409512774,0.102500051427822,0.164280293297249,0.0132536211691659
"Mcmdc2",0.025528898358139,0.014022047380608,0.109431854216765,0.0955995211360413,0.00629644682978946
"Tcf24",0,0,0,0,0.00141618094167897
"Sccpdh",0.049769313272354,0.0558325625934517,0.0685255323307859,0.0524971133337528,0.0509339433593763
"Smg7",0.21100575887122,0.143098681426036,0.199772134486121,0.107739920212456,0.16484518472406
"Col5a2",0.00228482020292859,0.00396092957655139,0.0295061844962704,0.0254045915705487,0.00231348363604205
"Wdfy1",0.115023425995108,0.061250901615857,0.0648096303801061,0.141083272420351,0.0512246092516313
"Mrpl44",0.113290720497866,0.198365212401556,0.118305404207248,0.202575120686515,0.142853517769557
"Serpine2",0.0027229574288969,0.0159039439511938,0.0807252355019112,0.0260659366464384,0.0107691981708682
"Ahctf1",0.254531641800276,0.142307772112769,0.276554682245838,0.386285695510169,0.237873304788817
"Cops5",0.481614394018296,0.525409776879113,0.423555741896005,0.446242785180071,0.428664441682799
"Wdr75",0.138332036155909,0.102937424347496,0.0930054299685792,0.0494834821353595,0.160932178116197
"Cul3",0.74744915325122,0.297163870427179,0.324995746822291,0.345789124568412,0.665622840886387
"Lamc1",0.0629373763160706,0.0449205071130966,0.0733325409854491,0.0928821356442532,0.0906378899855921
"Shcbp1l",0.00464236669062181,0.0268448768589765,0.00486087114846419,0.00731174010856581,0.00408961325430827
"Dhx9",0.596603395324406,0.294638257846699,0.40307978171833,0.377739915774994,0.534120657255089
"Npl",0.151882864053519,0.134798145970443,0.0280879963700975,0.0266422206850699,0.308629429065421
"Slc39a10",0.33379824324291,0.1346116451704,0.298247963902049,0.314655400479858,0.3204384973836
"Cspp1",0.218545067791096,0.120272458180926,0.240038674522406,0.250186160311673,0.211405987574721
"Cavin2",0.0853999621229186,0.0736474052740489,0.137698734552954,0.125918057209984,0.0248382418290168
"Rnasel",0.342773234234227,0.202040465886569,0.198299595294969,0.303840449072075,0.316453830689888
"Arfgef1",0.456293859954998,0.261194959749024,0.422999946843732,0.295503558146941,0.386257485269003
"Dock10",1.99536054758173,0.938152475004774,1.3543766833335,1.65146416872872,1.25387249875401
"Teddm2",0.00702068766320455,0.00795520687302596,0.0135227071331075,0.00160486852917009,0.012430586450808
"Nabp1",0.464139618112783,0.255480265244066,0.314131193933147,0.332160008965474,0.130933690529143
"Glul",2.31734037340239,1.80188487887728,0.994896412058815,1.62796070594233,1.89296709901754
"Prex2",0.0204465348816538,0.00632242571716173,0.0295495153771973,0.0230619806421451,0.012283265331128
"Rhbdd1",0.160462826685059,0.053570662197655,0.0671138823696993,0.10699285112777,0.0685439242251066
"Col4a4",0.00286741441877446,0,0,0.0217497216035635,0.00395898529856687
"Ier5",3.67783052031795,3.41812149110602,3.69244662086836,3.95412661969821,3.01747066326621
"Mr1",0.0360397269368831,0.0144808351717014,0.0316562450520593,0.0247528395875351,0.0321157521320506
"Stx6",0.274988525357939,0.286908473295643,0.218237716100952,0.266813918895673,0.218618769356387
"Mff",0.599595194311529,0.774054252387544,0.407347693805659,0.614883902393535,0.582830691499072
"Xpr1",0.593838246219784,0.275759588690209,0.711183783319262,0.485936263959244,0.344561804782492
"Myo1b",0.133311138629452,0.0422399000458334,0.0307491655282251,0.0987031716884129,0.1036592625682
"Cdc42bpa",0.0339172402833189,0.0138168421537789,0.0276939182355259,0.019084460424706,0.0458866783306532
"Acbd6",0.378465646763179,0.42608578659663,0.361401477544749,0.385932557498235,0.462189742017713
